OrderID,CustomerID,OrderDate,Status
1,348,2024-11-15,Shipped
2,4744,2025-03-22,Shipped
3,1368,2024-10-05,Cancelled
4,1966,2024-07-20,Delivered
5,4387,2024-06-28,Shipped
6,580,2024-08-14,Delivered
7,2806,2024-10-15,Delivered
8,4446,2024-11-22,Cancelled
9,3277,2023-09-29,Cancelled
10,3374,2024-05-04,Shipped
11,2781,2025-04-16,Shipped
12,1098,2024-07-30,Pending
13,4808,2024-12-29,Shipped
14,1767,2024-05-01,Delivered
15,3799,2024-10-29,Shipped
16,2361,2025-06-09,Shipped
17,4134,2024-08-12,Delivered
18,4099,2024-02-24,Shipped
19,3766,2025-08-06,Delivered
20,3944,2024-11-16,Shipped
21,1763,2024-04-23,Shipped
22,546,2024-06-06,Cancelled
23,4657,2024-06-02,Delivered
24,4201,2024-03-22,Shipped
25,4228,2024-11-11,Shipped
26,447,2025-03-29,Shipped
27,4286,2024-09-30,Pending
28,44,2024-02-25,Pending
29,4826,2024-10-26,Pending
30,91,2024-07-19,Shipped
31,3521,2025-02-20,Pending
32,1153,2023-09-21,Delivered
33,3915,2024-06-16,Delivered
34,528,2024-06-17,Cancelled
35,126,2024-01-18,Pending
36,2977,2024-04-14,Delivered
37,1555,2024-04-03,Pending
38,2368,2024-05-31,Cancelled
39,1735,2024-01-11,Delivered
40,352,2024-01-27,Delivered
41,2257,2025-08-09,Pending
42,4563,2025-05-18,Pending
43,4742,2025-03-14,Shipped
44,4972,2024-12-11,Pending
45,3506,2023-09-15,Pending
46,3865,2025-06-13,Pending
47,3431,2023-10-15,Shipped
48,4654,2024-05-21,Shipped
49,4189,2024-09-13,Cancelled
50,3462,2024-07-12,Delivered
51,3413,2023-12-07,Pending
52,2520,2025-08-26,Delivered
53,4180,2024-12-04,Cancelled
54,365,2024-09-27,Cancelled
55,542,2024-01-02,Delivered
56,3682,2024-04-19,Pending
57,2841,2024-09-14,Delivered
58,443,2024-06-02,Pending
59,3123,2025-08-03,Pending
60,1095,2024-12-19,Cancelled
61,1712,2024-01-05,Cancelled
62,4412,2024-10-10,Delivered
63,2540,2025-06-26,Cancelled
64,3965,2024-11-15,Cancelled
65,270,2023-10-10,Cancelled
66,1476,2024-10-16,Cancelled
67,2304,2024-10-23,Delivered
68,1696,2023-09-18,Delivered
69,261,2025-08-27,Shipped
70,4033,2025-05-11,Pending
71,4432,2025-08-22,Shipped
72,3576,2024-09-21,Delivered
73,4788,2024-11-13,Pending
74,2668,2024-07-07,Shipped
75,1921,2024-08-26,Shipped
76,1179,2025-06-14,Cancelled
77,3107,2025-03-23,Delivered
78,2023,2024-08-18,Cancelled
79,964,2024-04-21,Delivered
80,2147,2025-06-19,Pending
81,2155,2024-06-04,Cancelled
82,2292,2025-05-29,Shipped
83,4515,2024-08-10,Delivered
84,998,2025-04-07,Delivered
85,2938,2024-03-21,Pending
86,1839,2024-06-30,Cancelled
87,2542,2024-11-15,Delivered
88,4185,2024-04-15,Delivered
89,4147,2024-01-09,Pending
90,601,2025-02-12,Cancelled
91,1072,2024-03-10,Shipped
92,4242,2025-08-04,Shipped
93,153,2024-06-05,Delivered
94,1257,2024-11-09,Shipped
95,3784,2024-07-19,Pending
96,1373,2023-11-14,Pending
97,1479,2024-06-07,Delivered
98,2943,2025-09-06,Delivered
99,672,2024-04-20,Shipped
100,3931,2023-12-07,Cancelled
101,615,2023-12-27,Shipped
102,1310,2024-01-23,Delivered
103,4800,2023-11-21,Pending
104,2446,2024-05-05,Pending
105,2439,2024-09-10,Pending
106,801,2025-07-02,Delivered
107,3664,2024-05-05,Cancelled
108,4402,2025-06-13,Delivered
109,2113,2024-09-02,Shipped
110,1900,2025-05-03,Delivered
111,2848,2024-07-17,Pending
112,734,2025-06-21,Cancelled
113,794,2024-08-20,Shipped
114,434,2025-06-23,Cancelled
115,700,2025-04-16,Shipped
116,3922,2024-05-24,Shipped
117,2633,2024-05-23,Delivered
118,283,2024-07-15,Delivered
119,2310,2024-11-03,Pending
120,1512,2025-09-03,Shipped
121,3753,2024-06-21,Pending
122,3313,2024-06-01,Shipped
123,4550,2025-04-10,Shipped
124,3616,2025-06-10,Shipped
125,2566,2025-08-12,Pending
126,4772,2024-05-19,Pending
127,1472,2023-11-14,Cancelled
128,3397,2025-01-21,Pending
129,81,2025-04-06,Cancelled
130,21,2023-10-13,Pending
131,2638,2025-02-05,Pending
132,3207,2023-10-19,Shipped
133,194,2024-11-08,Pending
134,2896,2023-12-25,Delivered
135,1734,2025-03-15,Shipped
136,4902,2023-11-11,Delivered
137,3556,2023-11-01,Shipped
138,4982,2024-12-31,Pending
139,1977,2024-05-03,Shipped
140,4915,2024-06-20,Pending
141,1522,2025-02-25,Delivered
142,3709,2024-02-14,Shipped
143,2834,2024-10-21,Shipped
144,1137,2024-05-14,Delivered
145,1371,2024-03-02,Delivered
146,3977,2024-07-03,Pending
147,423,2024-10-09,Cancelled
148,3144,2024-04-26,Cancelled
149,4764,2023-12-03,Cancelled
150,4448,2023-12-18,Pending
151,3613,2024-07-09,Pending
152,622,2023-10-11,Cancelled
153,4127,2024-05-15,Cancelled
154,588,2024-08-14,Delivered
155,526,2023-09-28,Delivered
156,2898,2025-09-06,Cancelled
157,1576,2024-03-09,Delivered
158,3638,2024-04-10,Pending
159,2119,2023-12-23,Cancelled
160,4281,2025-02-02,Cancelled
161,1069,2025-08-01,Cancelled
162,1758,2024-11-21,Delivered
