OrderID,ProductID,Quantity,TotalPrice
1,885,1,677.18
1,1937,6,965.22
2,1550,7,4823.14
2,68,2,500.56
3,78,1,905.31
3,4,8,5342.72
4,1256,7,1398.81
4,485,1,850.42
5,1400,8,5135.6
6,1764,8,5205.92
7,1526,10,7174.2
8,1587,6,5819.94
9,515,10,3908.7
9,1691,5,4186.2
9,670,4,3481.56
9,1102,4,1107.24
9,996,7,6729.94
10,1776,2,842.78
10,217,8,4158.56
10,1326,6,3910.32
10,1813,10,7139.8
10,479,5,3612.15
11,144,4,3772.32
12,1028,4,2586.76
12,1443,7,4906.37
12,421,5,2949.95
12,1936,1,851.18
12,771,5,2284.2
13,1929,3,492.9
13,827,5,940.35
14,655,8,2157.44
14,159,9,270.36
15,906,5,4262.85
15,841,9,3278.7
15,1479,8,702.8
16,1855,4,1519.12
16,1024,7,3601.01
16,1589,7,2217.67
16,356,5,2796.15
17,1538,4,2291.24
17,1324,8,2997.28
17,895,9,4348.53
17,665,5,2366.4
17,977,3,475.83
18,380,5,773.9
18,1454,10,7723.6
18,499,3,2162.16
18,180,5,3962.45
18,665,5,2366.4
19,2,5,1140.65
19,999,1,147.18
19,969,3,241.38
19,1125,7,6925.94
19,1391,1,683.71
20,1916,2,1372.16
20,963,7,2510.62
21,344,8,6236.8
21,1093,9,5202.72
22,854,6,218.88
22,550,10,7580.0
22,1125,4,3957.68
23,1822,9,7989.39
23,1566,10,7109.8
23,499,5,3603.6
23,279,5,3729.1
24,1018,8,5377.36
24,1565,2,1586.9
24,666,10,9182.8
24,472,4,2596.64
25,564,8,5907.04
25,1126,3,584.1
26,127,10,9328.6
27,1608,3,2039.34
27,88,6,5768.04
27,1347,8,5400.16
27,1831,7,3601.22
28,1224,1,700.14
28,588,3,2989.02
28,1212,6,5392.8
28,1508,9,1670.67
28,290,9,8891.64
29,1368,6,4768.56
30,1823,9,2326.59
30,1482,10,6273.1
31,824,5,1278.7
31,665,7,3312.96
31,1858,7,2938.46
31,1863,9,7519.41
32,523,8,848.64
32,25,6,3368.52
33,289,4,3399.76
33,1466,8,6285.44
33,1415,3,607.32
33,1818,8,2227.76
34,1856,8,7803.04
34,1076,9,5683.59
34,1315,6,5320.08
35,1455,4,3132.88
35,1786,7,5867.89
35,1312,1,678.56
35,555,3,1721.16
36,339,9,6725.88
36,267,7,1177.26
36,1181,7,6750.24
36,1739,4,2938.36
36,1732,4,1401.92
37,1123,8,6695.92
38,1756,5,3334.7
38,1381,8,418.08
38,1344,1,362.58
38,1018,9,6049.53
38,1490,4,1989.28
39,532,8,1627.68
39,260,3,52.59
39,762,5,4440.3
39,1656,9,2608.11
40,291,8,3874.32
41,684,3,2932.02
42,426,7,5691.14
42,1098,3,2515.98
43,245,5,2114.55
43,750,6,138.42
43,765,7,4151.56
43,1340,6,2375.1
43,1358,7,1130.99
44,1964,3,1880.52
45,466,3,2330.91
45,223,5,765.35
45,1416,1,523.82
45,174,3,86.04
45,1166,1,235.53
46,735,4,3286.4
46,223,4,612.28
46,1157,9,7544.61
46,651,6,2152.08
47,1337,7,3657.15
47,1356,7,2407.51
47,1664,10,5142.0
47,1927,2,1435.64
47,135,4,2307.52
48,1209,3,180.6
48,580,7,687.47
48,1608,10,6797.8
48,1157,1,838.29
49,1580,4,1277.6
49,793,6,4555.8
50,972,3,803.88
50,739,8,5787.28
50,1542,2,1288.1
50,1564,4,1224.68
51,1367,10,5607.0
51,1274,1,872.01
51,40,10,8431.1
52,938,7,5555.69
52,719,4,2042.12
52,337,5,4068.9
52,1360,4,2173.44
52,121,10,9284.3
53,316,6,1727.82
53,1540,2,513.44
53,1387,7,4108.44
54,1040,6,3810.06
54,1460,4,3308.12
55,1747,4,3185.24
55,72,2,292.98
55,163,6,5999.58
55,991,1,130.03
56,969,8,643.68
56,1240,9,7041.51
57,1135,4,1890.64
58,440,2,1939.28
58,1347,8,5400.16
59,1749,9,5662.35
60,1504,5,4220.9
60,1679,9,4393.8
60,715,6,3278.82
60,1632,6,1894.56
61,843,1,280.2
61,1082,10,4218.3
61,774,4,2740.04
61,876,4,3540.52
61,382,9,7705.53
62,600,8,3151.68
63,567,7,4686.92
63,905,10,7958.3
64,1158,4,2917.92
65,241,4,3819.08
65,1978,6,4144.74
65,564,7,5168.66
65,28,8,6763.52
65,969,9,724.14
66,1817,5,1492.95
66,1723,5,2271.2
66,156,4,2302.28
66,564,7,5168.66
66,766,1,144.29
67,119,5,4511.55
67,1851,8,5619.52
68,538,9,4065.75
68,1091,8,5423.12
69,610,1,338.27
70,72,3,439.47
70,118,9,4169.7
70,1415,6,1214.64
70,22,1,10.29
71,710,8,6846.4
71,50,2,684.42
71,555,8,4589.76
72,47,2,1794.9
72,258,3,1220.61
73,397,3,2141.88
73,671,9,4104.45
73,1090,8,3280.0
74,1005,2,1152.4
74,148,5,2410.8
75,1978,7,4835.53
76,1256,9,1798.47
76,1776,9,3792.51
77,1950,9,8157.69
77,434,10,2306.9
77,579,9,8389.53
77,879,8,7123.52
78,14,1,384.69
78,1511,7,4991.0
78,1876,1,648.28
79,113,8,5274.88
79,399,4,182.6
80,1005,1,576.2
80,1122,5,4510.3
80,1200,5,2823.75
81,1036,6,3537.84
81,685,9,3694.95
81,227,9,5011.02
81,799,10,7957.4
82,418,7,5502.77
82,922,1,790.1
82,1216,8,4270.88
82,1871,1,983.3
82,210,7,3035.69
83,873,1,516.0
83,497,1,164.65
83,1880,3,2174.97
84,1160,8,1895.2
84,1637,7,6936.86
85,1967,9,2455.74
85,595,6,894.96
85,1412,8,1202.48
86,1853,6,3399.84
86,653,1,571.36
86,1896,9,2370.6
87,1892,2,25.58
87,1272,10,8542.8
88,1333,1,848.25
89,1956,1,868.4
89,1286,8,6696.88
89,564,2,1476.76
89,1164,8,7871.92
90,1484,8,3946.64
90,1009,10,9687.0
90,976,8,6578.56
90,1659,9,5538.6
90,1711,1,342.25
91,627,6,132.72
91,1955,2,1468.24
91,1011,8,4916.72
91,1388,8,4179.52
92,1970,8,5294.32
92,1871,5,4916.5
92,720,3,1151.34
92,959,2,615.76
92,1808,2,207.8
93,1754,2,190.16
93,602,6,4851.6
93,766,8,1154.32
93,938,3,2381.01
94,698,5,698.95
94,429,1,608.68
95,1550,7,4823.14
96,1884,3,809.82
97,1907,1,214.69
98,1676,1,18.07
98,769,5,4410.65
99,1352,6,530.94
99,1267,1,732.21
99,1172,4,1742.8
99,1753,9,1083.33
99,198,2,54.74
100,175,5,2927.2
101,1344,4,1450.32
101,669,1,813.84
101,1446,1,397.61
101,577,6,1045.86
102,237,10,614.8
102,1480,3,1373.52
102,810,9,2613.6
102,1114,6,2012.82
103,492,10,8474.6
103,322,7,4919.67
104,447,7,1038.52
104,1912,6,1016.16
104,916,7,5414.15
104,803,10,3687.5
105,1486,5,4526.65
105,751,1,638.1
106,1777,7,1263.85
107,169,4,3178.96
107,1970,2,1323.58
107,738,1,879.23
107,1662,4,2240.92
108,1958,2,1402.7
108,1550,8,5512.16
109,1656,7,2028.53
109,953,4,3632.84
109,1625,9,2432.79
109,1014,8,1841.84
109,550,7,5306.0
110,1562,8,546.24
111,1604,8,1329.2
111,356,6,3355.38
111,215,7,643.37
112,1250,6,349.26
112,151,5,2972.0
112,1215,6,5675.1
112,581,2,1570.64
112,254,3,1886.73
113,743,8,2940.0
113,818,3,809.43
113,685,1,410.55
114,614,5,2771.5
114,430,2,999.34
115,1604,7,1163.05
115,1150,5,3439.3
115,1943,9,3035.97
115,1691,7,5860.68
115,717,5,4677.55
116,1899,8,1090.48
117,1495,5,1007.3
117,596,2,1330.48
117,1035,9,7558.47
117,1301,8,1355.12
118,276,4,3076.92
118,400,9,378.36
118,1656,9,2608.11
118,1554,2,1711.2
119,1510,2,157.2
119,691,5,3230.75
120,524,7,256.41
120,1503,4,361.52
120,1412,8,1202.48
120,1983,9,1646.82
121,1510,6,471.6
121,146,5,1849.3
122,1072,6,3210.72
122,64,9,8345.61
122,1861,3,1882.17
122,299,7,6755.42
123,435,1,363.4
123,1675,5,2129.35
123,1999,8,5278.56
123,118,2,926.6
124,1247,5,1976.2
124,190,3,784.5
124,1764,7,4555.18
125,1719,5,3755.05
125,724,1,314.28
125,918,4,2112.28
125,1250,4,232.84
125,964,6,1537.8
126,230,1,144.52
127,341,2,780.02
128,326,6,1643.34
129,571,7,4771.97
130,1505,2,1664.5
130,1111,6,4119.78
131,77,8,7660.72
131,239,2,345.54
131,1134,9,3103.38
132,336,8,4542.08
133,23,7,2852.22
134,389,4,364.08
134,671,8,3648.4
135,1887,4,1310.92
135,677,2,1766.08
135,1339,7,2295.09
136,1594,1,589.37
137,1196,4,3883.64
138,853,2,1781.98
138,602,6,4851.6
138,678,8,1513.36
138,1101,8,7190.16
138,943,5,921.4
139,834,10,100.2
139,1881,4,1973.36
139,1865,3,725.85
139,1385,6,1575.18
139,664,10,7671.2
140,1076,4,2526.04
140,810,9,2613.6
140,1776,5,2106.95
140,511,1,716.74
140,918,9,4752.63
141,1873,1,797.93
141,849,3,1425.54
141,1835,10,4036.8
141,278,7,1769.67
141,650,10,7071.7
142,1003,8,3471.36
142,181,10,1653.3
142,1800,8,3812.16
143,718,7,5288.08
143,1699,8,3700.88
143,1868,8,1107.52
143,905,3,2387.49
143,1225,7,2983.33
144,1885,7,5164.74
145,1011,5,3072.95
145,496,8,5328.16
145,1044,9,1907.91
145,1338,4,3611.28
146,1247,6,2371.44
146,532,5,1017.3
147,986,1,539.17
147,755,6,2818.14
147,1285,1,829.79
147,525,5,361.1
148,716,2,640.22
148,976,6,4933.92
149,463,10,8568.9
149,176,4,2397.16
149,74,8,2919.36
149,1517,1,88.52
149,315,3,2081.79
150,179,10,52.5
150,1900,5,552.25
151,1351,9,5921.64
151,626,1,562.74
151,1137,5,3526.0
151,713,3,984.21
151,1500,6,372.12
152,1977,5,2477.65
152,1480,1,457.84
153,868,9,6577.83
154,236,7,6533.94
155,1284,6,1254.12
155,219,4,2633.84
155,834,3,30.06
155,1104,2,882.58
156,1079,1,754.34
157,570,6,5452.8
157,1420,8,1361.2
158,1105,9,5723.01
159,271,9,6118.47
159,1891,9,7872.75
159,324,3,899.13
160,246,1,53.75
160,516,3,2728.44
161,97,8,4872.88
162,520,9,1267.2
162,1421,5,4578.7
162,236,1,933.42
163,1064,7,1149.96
163,1551,3,2190.84
163,1061,3,1647.81
163,1027,6,2699.46
164,52,6,571.08
164,861,7,6582.38
164,221,6,1333.68
164,963,9,3227.94
164,1132,9,656.37
165,1714,4,2817.16
165,1890,7,6155.66
165,178,9,5930.28
165,1792,5,4099.25
165,1488,7,5821.62
166,1447,6,4710.0
166,1180,7,3018.68
166,436,6,1292.4
167,674,7,1351.98
168,59,3,133.62
169,1344,2,725.16
169,1576,9,1484.19
169,191,4,1042.16
170,1752,9,8351.82
170,8,8,7407.68
170,1164,8,7871.92
170,1648,1,198.62
171,479,2,1444.86
171,505,5,1792.1
171,1052,5,2433.75
172,1030,7,1599.78
172,1107,3,2811.72
172,1240,2,1564.78
173,543,9,5197.86
173,1518,10,5753.0
173,386,1,345.32
174,710,7,5990.6
174,538,8,3614.0
174,420,7,6320.79
174,1980,2,24.78
175,684,5,4886.7
175,1890,1,879.38
175,552,1,293.64
175,1393,3,2416.02
175,803,7,2581.25
176,311,1,335.62
177,269,6,2768.46
178,518,7,1725.22
178,1489,9,4965.21
178,137,1,72.04
178,1442,10,7787.5
178,1766,10,5261.5
179,1521,8,7534.88
179,178,3,1976.76
179,829,6,882.3
179,816,5,3237.55
179,1641,2,985.82
180,412,8,7083.76
180,308,5,1838.65
180,725,1,191.29
181,9,3,2684.55
181,830,2,777.78
181,31,3,833.76
181,1319,1,628.1
181,1016,6,2200.02
182,1377,8,2421.12
183,454,8,918.0
183,107,3,1648.89
183,903,3,2996.1
183,1094,3,1846.92
184,497,8,1317.2
184,1588,6,5206.26
184,1660,7,4737.6
185,1225,4,1704.76
185,1798,10,503.2
185,455,8,6657.76
185,1610,5,1242.65
186,444,6,4914.0
187,243,5,1774.55
187,1431,1,773.83
188,881,7,5199.74
188,1659,6,3692.4
188,570,2,1817.6
189,1899,5,681.55
189,882,6,1708.92
190,1512,7,6948.76
190,1684,6,5457.54
191,158,3,2471.7
192,1509,10,8185.3
192,642,2,1271.52
192,1909,8,452.96
192,1300,5,617.6
193,1685,3,2966.4
193,688,5,4330.85
193,1365,10,5445.3
194,1507,4,1201.44
194,1814,9,3381.48
194,1117,9,4065.21
194,1832,4,914.28
194,1648,3,595.86
195,1590,4,584.0
195,353,5,4343.1
195,901,1,706.95
195,1639,10,7528.7
195,1994,4,1364.12
196,529,5,1012.95
196,1717,10,3940.4
196,689,9,4926.78
196,935,2,1635.92
196,433,10,6072.9
197,131,7,3447.71
197,296,9,1354.59
197,592,1,573.12
198,192,4,607.04
198,1206,9,6396.75
198,1499,9,3042.36
198,686,7,6964.51
199,496,6,3996.12
199,86,3,2271.57
200,483,9,94.59
200,113,3,1978.08
201,1479,4,351.4
201,867,3,193.74
201,1473,7,5989.41
201,924,4,3777.4
201,107,5,2748.15
202,188,10,3724.0
202,1611,6,2921.94
203,127,8,7462.88
203,66,2,1882.22
203,1797,10,6584.9
204,1434,4,1574.6
204,423,4,944.6
205,1058,7,3299.31
205,1710,10,3136.2
205,164,4,2248.04
206,1984,4,1590.56
206,1543,5,2721.85
207,1254,7,5676.09
207,722,2,1542.64
207,1763,7,5545.19
208,1564,8,2449.36
208,1016,4,1466.68
208,115,3,2638.62
209,210,7,3035.69
209,1423,7,6971.65
209,789,9,548.46
210,278,9,2275.29
210,241,10,9547.7
210,129,5,4797.8
210,189,4,661.68
211,1870,5,2121.75
211,1167,9,2918.43
211,227,10,5567.8
211,48,3,183.72
212,1643,5,4314.4
212,304,3,704.22
212,1555,4,1132.6
213,263,9,4236.84
213,1584,1,218.06
213,327,9,7861.5
213,1767,4,1754.6
213,1061,5,2746.35
214,470,5,3930.15
214,599,9,6556.5
214,1162,5,53.95
215,926,1,878.55
216,1700,10,3345.9
216,1823,6,1551.06
216,1591,6,3461.34
216,1769,3,30.12
216,114,10,7546.1
217,1855,8,3038.24
218,200,2,166.98
218,1350,10,1167.4
218,814,5,4733.45
219,659,4,1161.52
219,812,2,1554.26
219,1076,9,5683.59
219,1573,6,4772.34
220,1965,1,353.71
220,233,6,3978.42
220,933,4,3795.52
221,613,5,1357.45
221,986,3,1617.51
221,1086,8,1336.4
221,1298,2,422.7
222,680,8,6483.36
223,44,4,2671.2
223,1003,2,867.84
224,1882,2,1414.04
224,213,3,2392.2
224,1211,2,1499.78
225,675,3,1923.63
225,1692,10,4371.9
225,804,3,358.65
225,147,3,2960.16
226,1973,2,43.42
226,1455,8,6265.76
226,71,5,828.45
226,1727,3,1128.33
227,903,9,8988.3
227,485,10,8504.2
227,1382,10,6089.5
227,582,6,191.64
227,1505,3,2496.75
228,274,1,268.8
228,686,1,994.93
228,762,7,6216.42
229,789,7,426.58
230,989,1,435.31
230,916,10,7734.5
231,1114,7,2348.29
231,303,1,711.85
231,318,9,838.53
231,595,4,596.64
232,869,2,1027.5
232,1189,10,2267.6
233,119,7,6316.17
233,825,9,6055.92
234,544,5,4479.4
234,771,7,3197.88
234,600,8,3151.68
234,1985,1,691.96
235,973,1,870.34
235,309,10,4068.0
235,214,5,2969.6
235,2000,3,2298.57
235,315,5,3469.65
236,1864,4,3375.36
236,1912,1,169.36
236,393,7,1831.2
236,231,5,142.35
236,1713,10,4077.3
237,1061,5,2746.35
237,164,8,4496.08
238,874,6,5316.96
238,1082,6,2530.98
238,1015,1,37.76
238,146,10,3698.6
238,116,7,3787.98
239,1146,6,4619.4
239,1580,1,319.4
240,669,10,8138.4
240,1784,2,648.64
240,1433,5,128.4
240,1748,5,307.6
241,1492,9,3701.88
241,1914,6,2528.34
241,197,4,2024.2
242,1421,8,7325.92
242,1065,3,1236.66
243,964,1,256.3
244,919,1,426.48
245,1264,1,563.07
246,726,10,1067.5
246,1438,7,4583.39
247,1006,2,458.22
248,699,8,50.96
248,1773,9,178.38
248,1318,8,1998.08
248,418,1,786.11
249,197,7,3542.35
249,185,6,2122.38
249,171,6,4783.02
249,1425,10,5390.6
249,1982,7,6135.29
250,479,7,5057.01
250,599,5,3642.5
251,1382,8,4871.6
252,467,6,1199.82
252,1259,6,2737.5
253,210,5,2168.35
253,819,6,5174.52
253,609,6,2512.5
253,1783,1,300.17
253,230,3,433.56
254,1985,3,2075.88
254,1152,7,5374.74
254,939,2,1528.52
254,856,1,615.23
255,761,6,2329.14
255,585,4,3616.2
256,495,1,458.5
256,1874,7,2374.26
257,1084,2,468.12
257,1074,5,4057.3
257,304,6,1408.44
257,1206,7,4975.25
257,1921,4,2534.76
258,367,8,2517.04
258,722,3,2313.96
258,1573,10,7953.9
259,440,10,9696.4
259,52,6,571.08
259,305,8,5113.76
259,340,9,5191.2
260,1097,1,772.87
260,1425,4,2156.24
260,1495,8,1611.68
260,862,9,6929.82
261,1030,3,685.62
261,12,4,2005.0
261,1400,4,2567.8
261,66,3,2823.33
262,1317,5,3433.25
262,1960,7,4504.43
262,411,7,6166.44
263,1026,10,391.2
